Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2017 Hyundai Elite i20,42780,Petrol,Manual,DL-12,"EMI ₹6,443/m*",₹3.00 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2019 Honda Amaze,79195,Petrol,Manual,HR-51,₹3.65 lakh+ other charges,₹5.15 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2019 Tata NEXON,97713,CNG,Manual,HR-02,"EMI ₹5,517/m*",₹1.94 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2023 MG ASTOR,28044,Petrol,Manual,DL-13,₹2.69L₹2.48 lakh+ other charges,₹3.50 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2016 Maruti Alto 800,65898,Petrol,Manual,UP-14,"EMI ₹3,158/m*",₹4.90 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2022 Nissan MAGNITE,80226,Petrol,Manual,UP-14,₹1.79 lakh+ other charges,₹11.00 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2017 Maruti Baleno,50569,Petrol,Manual,UP-15,"EMI ₹6,620/m*",₹11.58 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2014 Hyundai Grand i10,51501,Petrol,Manual,UP-81,₹3.90L₹3.75 lakh+ other charges,Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2022 Skoda SLAVIA,81928,Petrol,Manual,UP-81,"EMI ₹6,867/m*",Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Renault Duster,131753,Diesel,Manual,UP-81,₹3.43L₹3.09 lakh+ other charges,Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2023 Tata NEXON,79406,Petrol,Manual,UP-85,"EMI ₹7,242/m*",Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2015 Maruti Swift,145761,Diesel,Manual,UP-86,₹3.70L₹2.75 lakh+ other charges,₹4.44 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2017 Hyundai Creta,181445,CNG,Manual,UP-81,"EMI ₹6,025/m*",₹2.51 lakh," Gaur City mall, Multilevel parking, Greater Noida"
