Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2012 Maruti Wagon R 1.0,119541,CNG,Manual,HR-10,"EMI ₹21,148/m*",₹1.30 lakh, Kabul Bagh Panipat Haryana
2013 Maruti Alto K10,78547,CNG,Manual,HR-05,₹14.77L₹12.35 lakh+ other charges,₹1.38 lakh, Thermal Colony Asan Khurd
2017 Toyota Innova Crysta,209476,Diesel,Manual,HR-01,"EMI ₹7,740/m*",₹3.50 lakh, Kandhla Kairana
2018 Hyundai NEW SANTRO,36698,CNG,Manual,HR-07,₹3.29L₹2.94 lakh+ other charges,₹1.48 lakh, Nr elite hotel Nr elite hotel Panipat
2018 Premier Rio,61205,Petrol,Manual,HR-07,"EMI ₹20,081/m*",₹3.00 lakh, Panipat Karnal Division HR
2021 Renault Kiger,65419,Petrol,Manual,HR-83,₹10.75L₹10.55 lakh+ other charges,₹1.73 lakh, 168/1 Kishanpura Panipat Haryana Panipat
2021 Tata ALTROZ,56793,Petrol,Manual,HR-05,"EMI ₹6,168/m*",₹2.73 lakh, Shop no. 27 Aggarwal gali no.1 Gohana Road panipat (Haryana ) City - panipat Panipat
2012 Maruti Wagon R 1.0,33887,Petrol,Manual,HR-06,₹4.06L₹3.49 lakh+ other charges,₹2.59 lakh, Kabri Panipat
2024 Tata NEXON,40516,CNG,Manual,HR-51,"EMI ₹12,443/m*",₹2.51 lakh, Tehsil Camp Panipat Haryana
2023 MG ASTOR,39973,Petrol,Manual,HR-09,₹11.13L₹7.05 lakh+ other charges,₹1.27 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2012 Maruti Wagon R 1.0,76254,Petrol,Manual,HR-08,"EMI ₹8,120/m*",₹3.96 lakh," Metro Walk, Rohini, New Delhi"
2018 Renault Kwid,99456,CNG,Manual,HR-07,₹5.33L₹4.60 lakh+ other charges,₹4.83 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2012 Maruti Wagon R 1.0,78154,Petrol,Manual,HR-07,"EMI ₹7,918/m*",Account ," GNB Mall, Raj Nagar Extension, Ghaziabad"
2016 Maruti Alto 800,73569,CNG,Manual,HR-26,₹4.40L₹4.05 lakh+ other charges,Account ," Radisson Blu, Sector 13, Dwarka, New Delhi"
2012 Maruti Wagon R 1.0,124531,Petrol,Manual,HR-72,"EMI ₹8,826/m*",Account ," Wave One Mall, Sec-18, Noida"
2019 Maruti IGNIS,33071,Petrol,Manual,HR-26,₹5.64L₹5.00 lakh+ other charges,Account ," Gaur City mall, Multilevel parking, Greater Noida"
2019 Tata Tiago,70142,CNG,Manual,HR-10,"EMI ₹9,542/m*",Account ," M3M Urbana, Golf Course Ext., Gurugram"
2015 Renault Kwid,46171,Petrol,Manual,HR-26,₹4.99L₹2.87 lakh+ other charges,₹2.00 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2013 Maruti Swift Dzire,108834,Petrol,Manual,HR-10,"EMI ₹4,661/m*",₹1.20 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2013 Hyundai Eon,105766,CNG,Manual,HR-51,₹1.88L₹1.77 lakh+ other charges,₹14.50 lakh," Metro Walk, Rohini, New Delhi"
2015 Maruti Swift,132000,Diesel,Manual,HR-06,"EMI ₹2,991/m*",₹1.50 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2012 Hyundai i20,100753,Petrol,Manual,HR-80,₹2.39L₹1.53 lakh+ other charges,₹1.50 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Maruti Wagon R 1.0,199589,CNG,Manual,HR-26,"EMI ₹7,452/m*",₹5.92 lakh," Metro Walk, Rohini, New Delhi"
2018 Maruti Celerio,91252,CNG,Manual,HR-10,₹3.65L₹3.35 lakh+ other charges,₹3.11 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2018 Honda Amaze,86844,Petrol,Manual,HR-07,"EMI ₹10,025/m*",₹2.50 lakh," Metro Walk, Rohini, New Delhi"
2013 Hyundai Eon,60001,CNG,Manual,HR-36,₹2.13 lakh+ other charges,₹1.24 lakh," Metro Walk, Rohini, New Delhi"
2015 Hyundai Verna,51872,CNG,Manual,HR-08,"EMI ₹6,188/m*",₹3.14 lakh, DLF South Court Saket
2023 Tata PUNCH,31534,Petrol,Manual,HR-51,₹2.40L₹2.35 lakh+ other charges,₹2.08 lakh," Udyog Vihar, Sector 18, Gurgaon"
2020 Tata Tiago,53922,Petrol,Manual,HR-06,"EMI ₹8,279/m*",₹4.95 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2022 Maruti New Wagon-R,56385,Petrol,Manual,HR-06,₹4.89L₹4.69 lakh+ other charges,₹1.40 lakh, Gangwa Hisar Haryana
2014 Maruti Wagon R 1.0,65622,Petrol,Manual,HR-26,"EMI ₹4,985/m*",₹2.50 lakh, Sector 17 Hisar Haryana
2019 Maruti Swift,93697,CNG,Manual,HR-98,₹2.60L₹2.55 lakh+ other charges,₹3.50 lakh, Sundar Nagar Hisar Haryana
2015 Tata Nano,82880,Petrol,Manual,HR-10,"EMI ₹6,443/m*",₹2.07 lakh, Patel Nagar Hisar Haryana
2013 Maruti Ertiga,96827,Diesel,Manual,UP-13,₹3.65 lakh+ other charges,₹2.19 lakh, Mehta Nagar Hisar Haryana
2015 Ford Figo Aspire,90006,Petrol,Manual,UP-25,"EMI ₹2,879/m*",₹2.98 lakh, Sector 13 Hisar Haryana
2014 Maruti Alto 800,50456,Petrol,Manual,UP-80,₹2.42L₹1.63 lakh+ other charges,₹5.23 lakh, 66 66 Hisar
2017 Maruti Dzire,140184,Diesel,Manual,HR-14,"EMI ₹5,517/m*",₹2.36 lakh, Urban Estate II Hisar Haryana
2014 Maruti Swift Dzire,105045,Petrol,Manual,HR-10,₹2.69L₹2.48 lakh+ other charges,Account , HNO 16/C SCHOLAR COLONY GANGWA NEAR COMMUNITY CENTRE Hisar
2014 Hyundai Eon,68703,Petrol,Manual,UP-23,"EMI ₹3,158/m*",Account , Krishna Nagar Colony Hisar Haryana
2014 Maruti Wagon R 1.0,84547,Petrol,Manual,UP-80,₹1.79 lakh+ other charges,Account , Nera tikona park Friends colony Hisar Tikona park Hisar
2014 Maruti Wagon R 1.0,95714,Petrol,Manual,DL-11,"EMI ₹6,620/m*",Account , Azad Nagar Hisar
2021 Maruti Ertiga,17076,CNG,Manual,HR-14,₹3.90L₹3.75 lakh+ other charges,Account , hisar little angel school Hisar
2012 Hyundai Eon,128947,Petrol,Manual,DL-12,"EMI ₹6,867/m*",Account , Friedns Colony Hisar Haryana
2015 Hyundai i10,79903,Petrol,Manual,HR-51,₹3.43L₹3.09 lakh+ other charges,₹3.80 lakh, Mehta Nagar Mingni Khera Haryana
2015 Datsun Go Plus,48735,Petrol,Manual,HR-36,"EMI ₹6,055/m*",₹7.00 lakh, Azad Nagar Hisar Hisar
2016 Tata Indica EV2,42493,Petrol,Manual,HR-36,₹3.85L₹3.43 lakh+ other charges,₹1.18 lakh, Sarupgarh Charkhi Dadri
2014 Maruti Celerio,81558,Petrol,Manual,HR-43,"EMI ₹8,895/m*",₹2.50 lakh, Sector 13 Hisar Haryana
2021 Maruti Swift,62963,CNG,Manual,HR-36,₹5.01L₹4.55 lakh+ other charges,₹1.15 lakh, raj enterprises vpo mattershyam hisar b us stand Hisar
2019 Maruti Swift,58358,CNG,Manual,HR-36,"EMI ₹7,242/m*",₹4.30 lakh, Azad Nagar Gangwa Haryana
2023 Toyota Glanza,60527,Petrol,Manual,HR-35,₹3.70L₹2.75 lakh+ other charges,₹1.12 lakh, Maniram Godara college Fatehabad Haryana
2019 Ford FREESTYLE,55165,Diesel,Manual,HR-36,"EMI ₹8,826/m*",₹1.00 lakh, Agrasain Colony Sirsa Haryana
2015 Hyundai Eon,43518,Petrol,Manual,HR-36,₹5.64L₹5.00 lakh+ other charges,₹4.00 lakh, House no c 10 House no c 10 Sirsa
2017 Renault Kwid,86916,Petrol,Manual,HR-26,"EMI ₹4,985/m*",₹2.13 lakh, Old Fatehabad Fatehabad Haryana
2016 Maruti Swift,65394,Petrol,Manual,HR-36,₹2.60L₹2.55 lakh+ other charges,₹1.99 lakh, Professor Colony Fatehabad Haryana
2022 Maruti Swift,66173,Petrol,Manual,HR-36,"EMI ₹12,024/m*",₹1.56 lakh, Bhima Basti Fatehabad Haryana
2015 Maruti Wagon R 1.0,65974,CNG,Manual,HR-76,₹4.57 lakh+ other charges,₹3.70 lakh, VILLAGE MAJRA POST FATEHABAD THANA FATEHABAD NEAR PLAY GROUND Fatehabad
2019 Tata NEXON,43084,Petrol,Manual,HR-81,"EMI ₹9,515/m*",₹1.10 lakh, Near jai bharat high school Voo phool tamspura road Hisar
2015 Honda Amaze,40807,Petrol,Manual,HR-19,₹4.28 lakh+ other charges,₹1.28 lakh, House no 2 House no 2 Fatehabad
2022 Tata PUNCH,23927,Petrol,Manual,HR-26,"EMI ₹8,611/m*",₹11.60 lakh, Fatehabad Hisar Division HR
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,HR-36,₹4.91L₹3.27 lakh+ other charges,₹3.00 lakh, Old Fatehabad Fatehabad Haryana
2019 Maruti Swift,57241,Petrol,Manual,HR-34,"EMI ₹8,404/m*",₹3.47 lakh," Dhani bhuna road, vpo Gorakhpur distt Fatehabad Gorakhpur"
2018 Renault Kwid,62282,Petrol,Manual,RJ-02,₹5.11L₹4.76 lakh+ other charges,₹3.50 lakh, Model Town Fatehabad Haryana
2016 Tata Tiago,79222,Petrol,Manual,HR-36,"EMI ₹4,801/m*",₹3.93 lakh, Batra Colony Fatehabad Haryana
2019 Datsun Redi Go,34061,Petrol,Manual,HR-13,₹2.72 lakh+ other charges,Account , Jagjivan Pura Fatehabad Haryana
2019 Maruti Swift,30678,Petrol,Manual,HR-13,"EMI ₹6,600/m*",Account , fatehabad haryana Fatehabad
2022 Tata NEXON,48769,Petrol,Manual,HR-10,₹3.44L₹2.97 lakh+ other charges,₹1.10 lakh, On pawan kiryana store Hissar Haryana Sirsa
2016 Hyundai Elite i20,65503,Petrol,Manual,HR-13,"EMI ₹3,737/m*",₹8.00 lakh, M.C. Colony Sirsa Haryana
2019 Maruti Swift,58358,CNG,Manual,HR-13,₹1.79L₹1.68 lakh+ other charges,₹9.00 lakh, Ellenabad Sirsa Haryana
2015 Hyundai Eon,43518,Petrol,Manual,HR-26,"EMI ₹9,774/m*",₹1.38 lakh, Sirsa Hisar Division Sirsa
2015 Maruti Wagon R 1.0,65974,CNG,Manual,HR-13,₹6.30L₹5.54 lakh+ other charges,₹1.90 lakh, Ellenabad Sirsa Haryana
2015 Honda Amaze,40807,Petrol,Manual,UP-25,"EMI ₹13,847/m*",₹1.39 lakh, Sirsa Fatehabad Haryana
2019 Maruti Swift,57241,Petrol,Manual,HR-95,₹8.96L₹8.09 lakh+ other charges,₹1.89 lakh, 111 Hotel wellen all rounder hissar road sirsa Khairpur chowky Sirsa
2016 Tata Tiago,79222,Petrol,Manual,HR-13,"EMI ₹4,493/m*",₹1.12 lakh, Begu Rd Sirsa Haryana
2019 Datsun Redi Go,34061,Petrol,Manual,HR-13,₹2.23L₹1.71 lakh+ other charges,₹3.78 lakh, UNITED CARGO MOVERS Preet Nagar Sirsa
2019 Maruti Swift,30678,Petrol,Manual,HR-13,"EMI ₹6,083/m*",₹2.95 lakh, Ellenabad Sirsa Haryana
2016 Hyundai Elite i20,65503,Petrol,Manual,HR-26,₹2.77L₹2.31 lakh+ other charges,₹1.18 lakh, Agrasain Colony Sirsa Haryana
2015 Honda City,119495,Petrol,Manual,HR-13,"EMI ₹6,071/m*",₹2.85 lakh, M.C. Colony Sirsa
2014 Hyundai Grand i10,58791,Petrol,Manual,UP-81,₹3.18L₹2.73 lakh+ other charges,₹1.08 lakh, Shastri Colony Sirsa
2018 Datsun Redi Go,60114,CNG,Manual,HR-13,"EMI ₹5,024/m*",₹2.20 lakh, Sant Nagar Colony Sirsa
2017 Maruti Wagon R 1.0,22695,Petrol,Manual,HR-32,₹2.57 lakh+ other charges,₹1.30 lakh, Shastri Colony Sirsa Haryana
2024 KIA SONET,48161,Petrol,Manual,HR-12,"EMI ₹6,817/m*",₹1.40 lakh, Ellenabad Sirsa
2019 Hyundai Grand i10,50600,Petrol,Manual,HR-20,₹4.07L₹3.86 lakh+ other charges,₹2.62 lakh, near Choudhary Nursing Home Sirsa Haryana
2019 MG HECTOR,61573,Petrol,Manual,HR-20,"EMI ₹6,002/m*",₹3.60 lakh, Soni booking services chowk no- 3 suratgadia bazar beri wali gali sirsa
2017 Maruti Swift,86606,Petrol,Manual,HR-05,₹3.57L₹3.40 lakh+ other charges,₹0.70 lakh, Railway Colony Sirsa Haryana
2017 Maruti Swift,79321,Petrol,Manual,HR-20,"EMI ₹5,139/m*",₹2.79 lakh, Khanna Colony Sirsa Haryana
2021 Tata PUNCH,50698,CNG,Manual,HR-26,₹3.15L₹2.91 lakh+ other charges,Account , Verma disposal part near bal Darmarth hospital Bhiwani Road jind Bhiwani road ajmer basti Jind
2018 Maruti Wagon R 1.0,85527,Petrol,Manual,HR-20,"EMI ₹7,924/m*",Account , Amarheri Jind Haryana
2021 Maruti Swift,62963,CNG,Manual,HR-23,₹4.49 lakh+ other charges,Account , Ashri Gate Jind Haryana
2023 Toyota Glanza,60527,Petrol,Manual,HR-44,"EMI ₹7,897/m*",Account , Urban Estate Jind Haryana
2019 Ford FREESTYLE,55165,Diesel,Manual,HR-20,₹3.79L₹3.55 lakh+ other charges,Account , V P O (khokhri) Jind Haryana Jind
2017 Renault Kwid,86916,Petrol,Manual,HR-20,"EMI ₹8,120/m*",Account , Patiala Chowk Jind
2016 Maruti Swift,65394,Petrol,Manual,HR-21,₹5.33L₹4.60 lakh+ other charges,Account , Barwala Barwala
2022 Maruti Swift,66173,Petrol,Manual,HR-10,"EMI ₹7,918/m*",Account , Urban Estate Jind Haryana
2019 Tata NEXON,43084,Petrol,Manual,HR-16,₹4.40L₹4.05 lakh+ other charges,Account , Ganesh Colony Bhuna
2022 Tata PUNCH,23927,Petrol,Manual,HR-20,"EMI ₹9,542/m*",Account , Urban Estate Jind Haryana
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,HR-77,₹4.99L₹2.87 lakh+ other charges,Account , Scheme No 19 Jind Haryana
2018 Renault Kwid,62282,Petrol,Manual,HR-20,"EMI ₹4,661/m*",Account , Police Lines Jind
2022 Tata NEXON,48769,Petrol,Manual,UP-90,₹1.88L₹1.77 lakh+ other charges,₹5.93 lakh, Near Dalamwala Hospital Safidon road Jind
2020 Renault TRIBER,42304,Petrol,Manual,HR-51,"EMI ₹2,991/m*",₹4.00 lakh, Jind Jind Rural Haryana
2018 Tata Tiago,48065,Petrol,Manual,HR-51,₹2.39L₹1.53 lakh+ other charges,₹4.00 lakh, Scheme No 19 Jind Haryana
2023 Volkswagen TAIGUN,58195,Petrol,Manual,HR-51,"EMI ₹7,452/m*",₹2.00 lakh, jind Haryana pin Jind
2017 Hyundai Creta,70830,Petrol,Manual,HR-29,₹3.65L₹3.35 lakh+ other charges,₹4.12 lakh, Urban Estate Jind
2019 Maruti Baleno,59035,Petrol,Manual,HR-16,"EMI ₹7,284/m*",₹0.52 lakh, Sector 26 Bhiwani Haryana
2012 Maruti Alto 800,71627,CNG,Manual,HR-24,₹4.37L₹4.13 lakh+ other charges,₹3.20 lakh, HUDA Bhiwani Haryana
2023 Tata PUNCH,78363,Petrol,Manual,HR-20,"EMI ₹10,025/m*",₹1.73 lakh, Birla Colony Bhiwani Haryana
2016 Hyundai Creta,70369,Petrol,Manual,HR-94,₹2.13 lakh+ other charges,₹1.60 lakh, Bharat Nagar Bhiwani Haryana
2023 Maruti Alto K10,68841,Petrol,Manual,HR-20,"EMI ₹7,326/m*",₹3.60 lakh, Ravidas mandir Ravidas mandir Bhiwani
2020 KIA SELTOS,229444,Diesel,Manual,HR-30,₹4.25L₹4.15 lakh+ other charges,₹2.53 lakh, Krishna Colony Bhiwani Haryana
2017 Hyundai Grand i10,98159,CNG,Manual,HR-26,"EMI ₹6,188/m*",₹1.52 lakh, Old Bharat Nagar Bhiwani Haryana
2015 Maruti Swift,121002,Diesel,Manual,HR-24,₹2.40L₹2.35 lakh+ other charges,₹1.96 lakh, Paluwas Bhiwani Haryana
2024 Renault TRIBER,43535,Petrol,Manual,HR-23,"EMI ₹8,279/m*",₹2.00 lakh, HUDA Bhiwani Haryana
2018 Maruti Vitara Brezza,108527,Diesel,Manual,HR-24,₹4.89L₹4.69 lakh+ other charges,₹10.50 lakh, Pushp vatika wali gali Amar nagar tibba basti Bhiwani
2016 Datsun Redi Go,48252,Petrol,Manual,HR-26,"EMI ₹6,443/m*",₹0.88 lakh, Bhiwani HR Bhiwani
2015 Nissan Sunny,159744,Diesel,Manual,HR-44,₹3.65 lakh+ other charges,₹1.88 lakh, Haryana India JB gupta hospital
2016 Maruti Vitara Brezza,135678,Diesel,Manual,HR-24,"EMI ₹2,879/m*",₹1.30 lakh, Surya Nagar Bhiwani Haryana
2013 Maruti Ertiga,301653,Diesel,Manual,HR-24,₹2.42L₹1.63 lakh+ other charges,₹1.05 lakh, Vikas Nagar Bhiwani Haryana
2021 KIA SONET,74716,Petrol,Manual,HR-51,"EMI ₹5,517/m*",₹1.97 lakh, Birla Colony Bhiwani Haryana
2013 Maruti Swift,114962,Diesel,Manual,HR-13,₹2.69L₹2.48 lakh+ other charges,Account , Vidya Nagar Bhiwani Haryana
2017 Renault Kwid,116105,Petrol,Manual,CH-01,"EMI ₹3,158/m*",Account , Vikas Nagar Bhiwani Haryana
2015 Hyundai Creta,139278,Diesel,Manual,HR-33,₹1.79 lakh+ other charges,₹4.60 lakh, Near bawari gate Guru ji appatmnt .new preet vihar Bhiwani
2016 Hyundai Elite i20,128243,Diesel,Manual,HR-29,"EMI ₹6,620/m*",₹4.05 lakh," Halu bazar, opppsite Anara Devi school"
2014 Hyundai Verna,118431,Diesel,Manual,HR-51,₹3.90L₹3.75 lakh+ other charges,₹5.00 lakh, jagriti nagar tosham road shiv mandir gali near railway line bhiwani haryana Bhiwani
2011 Volkswagen Polo,134393,Petrol,Manual,HR-31,"EMI ₹10,775/m*",₹2.87 lakh, Rajiv Gandhi Education City Rai Haryana
2018 Hyundai Creta,210300,Diesel,Manual,HR-93,₹6.26L₹6.10 lakh+ other charges,₹1.77 lakh, Murthal Haryana India
2016 Hyundai Elite i20,107574,Petrol,Manual,HR-51,"EMI ₹6,867/m*",₹1.53 lakh, Sector 15 Sonipat Haryana
2019 Nissan Kicks,168885,Diesel,Manual,HR-31,₹3.43L₹3.09 lakh+ other charges,₹3.35 lakh, Thana kalan Thana Kalan
2016 Maruti Baleno,79135,Petrol,Manual,HR-31,"EMI ₹6,055/m*",₹4.13 lakh, Near Delhi road Kharkhoda
2023 Toyota Glanza,60527,Petrol,Manual,HR-06,₹3.85L₹3.43 lakh+ other charges,₹2.13 lakh, Tower 4 TDI espania Sonipat
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,HR-33,"EMI ₹5,633/m*",₹4.15 lakh, Ferozepur Khadar Rai Haryana
2015 Hyundai Creta,66754,Petrol,Manual,HR-08,₹3.56L₹3.19 lakh+ other charges,₹2.35 lakh, 65 1st floor tdi tuscan city kundli Sonipat
2016 Honda City,73377,Petrol,Manual,HR-31,"EMI ₹3,025/m*",₹4.69 lakh, Near kache quarter Near kache quarter Sonipat
2015 Ford Ecosport,34404,Petrol,Manual,HR-90,₹1.36 lakh,₹2.55 lakh, Sector 15 Sonipat Haryana
2022 Tata ALTROZ,77101,Petrol,Manual,HR-06,"EMI ₹7,108/m*",₹3.65 lakh, Patel Nagar Sonipat
2022 Renault Kwid,48014,Petrol,Manual,HR-31,₹0.90L₹0.80 lakh,₹1.63 lakh, Ashok Vihar Sonipat Haryana
2018 Maruti Celerio X,111639,CNG,Manual,HR-31,"EMI ₹4,148/m*",₹2.48 lakh, Sector 53 Sonipat Haryana
2016 Renault Kwid,63291,Petrol,Manual,HR-13,₹2.35 lakh,₹1.79 lakh, Rajiv Gandhi Education City Sonipat
2021 Hyundai VENUE,52976,Petrol,Manual,HR-14,"EMI ₹5,561/m*",₹3.75 lakh, Kundli Sonipat Haryana
2023 Maruti XL6,81155,Petrol,Manual,HR-12,₹2.56L₹2.50 lakh,₹6.10 lakh, Dharminder cabel vali gali Sunder Sawri near dharminder cabel vali gali Sonipat
2015 Hyundai i10,78856,Petrol,Manual,HR-02,Not available on EMI,₹3.09 lakh, pocket-3 sec-A-9 New Delhi
2017 Maruti Wagon R 1.0,79242,CNG,Manual,HR-02,₹1.98 lakh,Account , Near kheri wala gas agency Old housing board cilony Sonipat
2018 Tata Tiago,118576,Petrol,Manual,HR-12,"EMI ₹6,249/m*",₹4.05 lakh, Sonepat Sonepat Sonipat
2017 Honda Jazz,91033,Petrol,Manual,HR-10,₹3.54 lakh,₹1.77 lakh, Model Town Sonipat Haryana
2019 Tata NEXON,41924,Petrol,Manual,HR-18,"EMI ₹8,427/m*",₹2.13 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2020 Renault TRIBER,55224,Petrol,Manual,HR-10,₹3.20 lakh,₹2.35 lakh," Metro Walk, Rohini, New Delhi"
2018 Hyundai Grand i10,41331,Petrol,Manual,HR-36,"EMI ₹10,609/m*",₹3.65 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2022 Tata TIGOR,81872,CNG,Manual,HR-05,₹6.01 lakh,₹2.48 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2018 Tata NEXON,100474,CNG,Manual,HR-36,"EMI ₹9,217/m*",₹1.79 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2021 Maruti Swift,62963,CNG,Manual,HR-29,₹3.51L₹3.50 lakh,₹3.75 lakh," Wave One Mall, Sec-18, Noida"
2019 Maruti Swift,58358,CNG,Manual,HR-13,"EMI ₹11,951/m*",₹3.09 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2019 Ford FREESTYLE,55165,Diesel,Manual,HR-10,₹6.77 lakh,₹2.75 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2015 Hyundai Eon,43518,Petrol,Manual,HR-29,"EMI ₹6,673/m*",₹1.81 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Renault Kwid,86916,Petrol,Manual,HR-98,₹3.78 lakh,₹1.79 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2016 Maruti Swift,65394,Petrol,Manual,HR-31,"EMI ₹5,649/m*",₹2.33 lakh," Metro Walk, Rohini, New Delhi"
2022 Maruti Swift,66173,Petrol,Manual,HR-05,₹3.50L₹3.20 lakh,₹7.25 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2015 Maruti Wagon R 1.0,65974,CNG,Manual,HR-29,"EMI ₹8,965/m*",₹3.15 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2019 Tata NEXON,43084,Petrol,Manual,HR-12,₹4.03 lakh,₹7.69 lakh," Metro Walk, Rohini, New Delhi"
2015 Honda Amaze,40807,Petrol,Manual,HR-08,"EMI ₹7,291/m*",₹2.80 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2022 Tata PUNCH,23927,Petrol,Manual,HR-51,₹4.13 lakh,₹2.50 lakh," Metro Walk, Rohini, New Delhi"
2019 Maruti Swift,57241,Petrol,Manual,HR-22,"EMI ₹7,944/m*",₹4.65 lakh," Metro Walk, Rohini, New Delhi"
2018 Renault Kwid,62282,Petrol,Manual,UK-07,₹4.64L₹4.50 lakh,₹2.65 lakh, DLF South Court Saket
2016 Tata Tiago,79222,Petrol,Manual,HR-08,"EMI ₹10,344/m*",₹4.60 lakh," Udyog Vihar, Sector 18, Gurgaon"
2019 Datsun Redi Go,34061,Petrol,Manual,HR-08,₹5.21L₹4.65 lakh,₹5.00 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2019 Maruti Swift,30678,Petrol,Manual,HR-83,"EMI ₹18,458/m*",₹2.87 lakh," GT Road, Karnal"
2022 Tata NEXON,48769,Petrol,Manual,HR-13,₹10.78 lakh,₹1.53 lakh," GT Road, Karnal"
2016 Hyundai Elite i20,65503,Petrol,Manual,HR-70,"EMI ₹14,451/m*",₹3.35 lakh," GT Road, Karnal"
2020 Renault TRIBER,42304,Petrol,Manual,HR-29,₹8.44 lakh,₹4.13 lakh," GT Road, Karnal"
2018 Tata Tiago,48065,Petrol,Manual,HR-08,"EMI ₹49,210/m*",₹4.15 lakh," GT Road, Karnal"
2012 Maruti Alto 800,69544,Petrol,Manual,HR-08,₹28.74 lakh,₹4.69 lakh," GT Road, Karnal"
2014 Tata Zest,219885,Diesel,Manual,HR-08,"EMI ₹7,786/m*",₹2.55 lakh," GT Road, Karnal"
2020 Ford Ecosport,119536,Diesel,Manual,HR-32,₹4.75L₹3.50 lakh,₹1.63 lakh," GT Road, Karnal"
2020 Maruti Vitara Brezza,121391,CNG,Manual,HR-26,"EMI ₹6,311/m*",₹6.10 lakh," GT Road, Karnal"
2015 Hyundai Elite i20,95229,CNG,Manual,HR-08,₹1.90 lakh,₹3.43 lakh," GT Road, Karnal"
2022 Hyundai VENUE,101913,CNG,Manual,HR-26,"EMI ₹9,976/m*",₹3.19 lakh," GT Road, Karnal"
2019 Toyota Innova Crysta,87481,Diesel,Manual,CH-01,₹3.00 lakh,₹6.88 lakh," GT Road, Karnal"
2012 Maruti Wagon R 1.0,127973,Petrol,Manual,HR-08,"EMI ₹5,978/m*",₹4.55 lakh," GT Road, Karnal"
2016 Maruti S Cross,147234,Diesel,Manual,HR-26,₹1.27 lakh,₹3.92 lakh," GT Road, Karnal"
2013 Maruti Wagon R 1.0,49072,Petrol,Manual,HR-26,"EMI ₹6,443/m*",₹1.34 lakh," GT Road, Karnal"
2020 Hyundai GRAND I10 NIOS,38026,Petrol,Manual,HR-20,₹3.65 lakh,₹4.79 lakh," GT Road, Karnal"
2019 Maruti Swift,118137,Petrol,Manual,HR-02,"EMI ₹5,649/m*",₹3.67 lakh," GT Road, Karnal"
2014 Maruti Ertiga,235225,Petrol,Manual,HR-02,₹1.20 lakh,₹3.26 lakh," GT Road, Karnal"
2015 Hyundai Eon,126261,Petrol,Manual,HR-70,"EMI ₹6,477/m*",Account ," GT Road, Karnal"
2012 Hyundai i10,145387,Petrol,Manual,HR-02,₹1.95 lakh,₹7.00 lakh," GT Road, Karnal"
2017 Maruti Alto 800,94821,Petrol,Manual,HR-26,"EMI ₹7,238/m*",₹2.60 lakh, Ashoka Garden Colony Kaithal Haryana
2025 Maruti New Wagon-R,18878,CNG,Manual,HR-02,₹5.00L₹4.10 lakh,₹3.00 lakh, Huda Kaithal Haryana
2016 Maruti Alto 800,149000,CNG,Manual,HR-02,"EMI ₹10,027/m*",₹5.73 lakh, Huda Kaithal Haryana
2023 Hyundai VENUE,89268,Petrol,Manual,HR-02,₹2.13 lakh,₹4.40 lakh, Friends Colony Kaithal Haryana
2015 Honda Amaze,68468,CNG,Manual,HR-20,"EMI ₹4,226/m*",₹1.35 lakh, Ssec 21 763 on main road near gate 5 Kaithal
2022 Maruti Swift,68868,CNG,Manual,HR-49,₹2.05L₹1.90 lakh,₹2.11 lakh, Patti Dogran Kaithal Haryana
2016 Maruti Wagon R 1.0,73702,CNG,Manual,HR-02,"EMI ₹8,304/m*",₹4.00 lakh, Kaithal Bus Stand Road Manjhla Kaithal
2015 Datsun Go Plus,135000,Petrol,Manual,HR-02,₹2.70L₹2.50 lakh,₹2.24 lakh, Huda Kaithal Haryana
2017 Tata Tiago,188701,CNG,Manual,HR-70,"EMI ₹6,673/m*",₹6.00 lakh, Arjun Nagar Arjun Nagar Kaithal
